noaa,icao
720602,KBNL
720603,KCDN
720604,KCKI
720605,KCQW
720606,KJZI
720607,KLKR
720608,KMAO
720609,KRBW
720611,KSMS
720612,KARW
720613,KHYW
720631,KBBP
720632,KDYB
720633,KHVS
720634,KFDW
720744,KLQK
722080,KCHS
722085,KNBC
722216,KXNO
723100,KCAE
723104,KCUB
723105,KMMT
723106,KFLO
723107,KMNI
723115,KOGB
723116,KUDG
723117,KUZA
723118,KCEU
723119,KGMU
723120,KGSP
723122,KGYH
723124,KGRD
723126,KSPA
723190,KAND
747900,KSSC
747910,KMYR
747915,KCRE
747917,KLRO
747918,KGGE
999999,SPA
720332,KVMR
720511,KBTN
720624,KMDS
726510,KFSD
726514,KCUT
726515,KBKX
726516,KPHP
726517,KIEN
726518,KICR
726519,K8D3
726525,KYKN
726530,K9V9
726539,KD07
726540,KHON
726545,KMHE
726546,KATY
726560,KPIR
726590,KABR
726605,KSPF
726620,KRAP
726625,KRCA
726627,K2WX
726685,KMBG
720168,KM04
720171,KM08
720775,KLUG
720907,KJAU
720974,KBGF
721031,KTHA
722781,KPHT
723240,KCHA
723249,KMRC
723250,KCSV
723260,KTYS
723264,KDKX
723270,KBNA
723271,KJWN
723273,KMQY
723274,KSRB
723280,KCKV
723284,KNQA
723340,KMEM
723346,KMKL
723347,KDYR
723350,KTRI
724270,KOQT
746720,KEOD
A00029,KUCY
720110,KAQO
720151,KE38
720261,KXBP
720269,KBKS
720271,KBPG
720273,KBYY
720276,KEBG
720286,KGDJ
720287,KGYI
720291,KHQZ
720295,KINJ
720296,KJAS
720298,KJSO
720299,KJWY
720303,KLHB
720305,KLUD
720311,KOSA
720313,KPPA
720314,KPSN
720315,KPYX
720316,KRBO
720318,KRPH
720320,KCPT
720323,KT82
720391,KBEA
720393,KHRX
720395,KPEZ
720404,KCWC
720542,KRYW
720577,KRFI
720578,KBKD
720579,KT89
720584,KAPY
720594,KMCJ
720617,KTME
720626,KBPC
720637,KAXH
720639,KDZB
720647,KLZZ
720648,KEDC
720659,KOZA
720668,KEMK
720669,KGUL
720725,KBBF
720727,KHQI
720729,KBQX
720732,KMZG
720742,KFTN
720771,KCOM
720779,KLXY
720806,K4F2
720917,KXIH
720926,KBMT
720943,KASL
720954,KHHV
720965,KDYS
721034,KT35
721043,KF44
721044,KF46
721048,KPRS
722008,KRAS
722042,KJDD
722094,KGPM
722107,KGNC
722112,KJXI
722113,KGYB
722122,KSNK
722143,KLNC
722159,KT65
722169,KPEQ
722174,KPVW
722192,KSWW
722202,KUVA
722209,KPKV
722214,KDUX
722231,KMNZ
722323,KGOP
722324,KMDD
722338,KHBV
722351,KARM
722362,KSLR
722363,KECU
722369,KTFP
722410,KBPT
722416,KBAZ
722420,KGLS
722427,KLVJ
722429,KDWH
722430,KIAH
722436,KEFD
722440,KHOU
722444,KCXO
722446,KLFK
722447,KUTS
722448,KTYR
722469,KCRS
722470,KGGG
722479,KGKY
722489,KTRL
722499,KOCH
722500,KBRO
722505,KHRL
722506,KMFE
722508,KPIL
722510,KCRP
722515,KNGP
722516,KNQI
722517,KALI
722518,KNOG
722520,KLRD
722523,KSSF
722524,KRKP
722526,KCOT
722527,KLBX
722530,KSAT
722533,KHDO
722535,KSKF
722536,KRND
722537,KERV
722539,KHYI
722540,KAUS
722541,KTKI
722542,KBMQ
722543,KSGR
722544,KATT
722547,KGTU
722550,KVCT
722552,KGLE
722555,KPSX
722560,KACT
722561,KCNW
722563,KPWG
722570,KHLR
722575,KILE
722576,KGRK
722577,KTPL
722580,KDAL
722587,KPRX
722588,KGVT
722589,KDTO
722590,KDFW
722593,KFWS
722594,KAFW
722595,KNFW
722597,KMWL
722598,KADS
722599,KRBD
722600,KSEP
722610,KDRT
722615,KDLF
722616,K6R6
722618,KFST
722620,KGDP
722630,KSJT
722637,KHHF
722640,KMRF
722648,KODO
722650,KMAF
722656,KINK
722660,KABI
722666,KBWD
722670,KLBB
722700,KELP
722704,KBIF
723510,KSPS
723513,KSHP
723628,KBBD
723629,KORG
723630,KAMA
723635,KBGD
723660,KCDS
723761,KRWV
724462,KDKR
727511,KNWL
747335,KSOA
747355,KMKN
747360,KDHT
747390,KFTW
747400,KJCT
747460,KCLL
999999,KNGW
A00002,K11R
A00008,K3T5
A00019,KF05
A05735,K0F2
720565,K36U
720567,KBMC
720568,KFOM
720569,KKNB
720572,KTVY
724700,KPUC
724733,KHVE
724750,KMLF
724754,KSGU
724755,KCDC
724756,KBCE
724776,KCNY
724796,KLGU
724797,KMLF
725705,KVEL
725720,KSLC
725724,KPVU
725750,KOGD
725753,KU16
725755,KHIF
725810,KENV
740030,KDPG
999999,KQCA
A00016,KBDG
A00018,KDTA
A00028,KU42
720278,KEMV
720285,KFYJ
720297,KJGG
720317,KRMN
720498,KFCI
720499,KPVG
720501,KXSA
720768,K0VG
720777,KLVL
722167,KOMH
722692,KHWY
723075,KNTU
723080,KORF
723083,KFKN
723084,KOFP
723085,KNGU
723086,KPHF
723087,KFAF
723098,KCJR
723114,KLKU
724006,KCPK
724007,KSFQ
724010,KRIC
724014,KPTB
724015,KBKT
724016,KCHO
724017,KFVX
724019,KAKQ
724020,KWAL
724026,KMFV
724030,KIAD
724033,KEZF
724035,KNYG
724036,KHEF
724037,KDAA
724050,KDCA
724053,KOKV
724055,KJYO
724056,KMKJ
724058,KVJI
724100,KLYH
724105,KSHD
724106,KDAN
724107,KHLX
724110,KROA
724113,KBCB
724115,KHSP
724116,KPSK
724117,KLNP
724118,KAVC
725172,KNFE
745980,KLFI
745985,KMTV
A06800,KJFZ
A06884,KLUA
785430,TIST
785510,TISX
720492,KCDA
720493,KEFK
720494,KFSO
725165,KRUT
726114,KMVL
726115,KVSF
726140,K1V4
726145,KMPV
726166,KDDH
726170,KBTV
720254,KCLS
720272,KBVS
720388,KPLU
720749,KNUW
722208,KORS
726988,KDLS
727810,KYKM
727815,KSMP
727825,KEAT
727827,KMWH
727845,KPSC
727846,KALW
727850,KGEG
727855,KSKA
727856,KSFF
727857,KPUW
727870,KDEW
727873,K63S
727883,KELN
727884,KRLD
727885,KCLM
727890,KOMK
727900,KEPH
727918,KVUO
727920,KOLM
727923,KHQM
727924,KKLS
727925,KSHN
727928,KPWT
727930,KSEA
727934,KRNT
727935,KBFI
727937,KPAE
727938,KTIW
727945,KAWO
727970,KUIL
727976,KBLI
727985,KFHR
742010,KNOW
742060,KTCM
742071,KGRF
999999,KSEW
A00026,KNRA
720327,KLUM
720343,KPCZ
720586,KPVB
720589,KEZS
720835,K4R5
720859,KBCK
720887,KD25
720929,KUBE
722059,KBUU
722179,KRNH
722183,KRZN
722332,KTKV
723123,KLNL
723758,KRCX
726400,KMKE
726404,KARV
726405,KMWC
726409,KUES
726410,KMSN
726413,KETB
726414,KEFT
726415,KJVL
726416,KLNR
726417,KMDZ
726418,KOEO
726419,KASX
726424,KRAC
726425,KSBM
726426,KSTE
726427,KSUW
726430,KLSE
726435,KEAU
726436,KVOK
726437,KCMY
726438,KOVS
726444,KPDC
726449,KRRL
726450,KGRB
726452,KISW
726455,KMTW
726456,KOSH
726457,KATW
726458,KSUE
726463,KAUW
726464,KRYV
726465,KCWA
726467,KRPD
726468,KPBH
726502,KCLI
726503,KDLL
726504,KEGV
726505,KENW
726506,KFLD
726507,KMRJ
726508,KHYR
726509,KUNU
726574,KMFI
726626,KAIG
727415,KRHI
A07056,KOCQ
A07354,KY50
A07355,KY51
720328,KW22
724120,KBKW
724125,KBLF
724127,KLWB
724140,KCRW
724170,KEKN
724175,KCKB
724176,KMGW
724177,KMRB
724250,KHTS
724273,KPKB
724275,KHLG
742079,K3I2
A00012,K48I
A00021,KI16
A00031,KW99
720345,KPNA
720516,KAFO
720517,KEMM
720518,KFBR
720519,KPOY
720521,KSAA
720522,KDUB
720619,KFEW
720684,KEAN
720747,KEHY
720971,KFWZ
721036,KTBX
722221,KDWX
725640,KCYS
725645,KLAR
725686,KDGW
725690,KCPR
725744,KRKS
725760,KLND
725763,KTOR
725775,KEVW
725776,KJAC
726650,KGCC
726654,KBYG
726660,KSHR
726664,KP60
726665,KWRL
726667,KGEY
726690,KRWL
726700,KCOD
726710,KBPI
726720,KRIW
