noaa,icao
720528,KAEJ
720529,KAIB
720531,KAJZ
720532,KANK
720533,KBDU
720534,KEIK
720535,KFMM
720536,KGNB
720537,KHEQ
720538,KLMO
720539,KPSO
720544,KSTK
720641,KSHM
720642,KCWN
720844,K4V1
720852,KFLY
720987,K1JW
720989,K1LW
720991,K1MW
720992,K1NW
720993,K1OW
722061,KCCU
722101,KCPW
722155,KMNH
722203,KMYP
722333,K04V
722817,KABH
724620,KALS
724625,KDRO
724627,KTEX
724635,KLHX
724636,KLAA
724640,KPUB
724645,KTAD
724646,KSPD
724660,KCOS
724665,KLIC
724666,KAPA
724673,KLXV
724674,KEEO
724675,KEGE
724676,KASE
724677,KGUC
724678,KSBS
724680,KFCS
724689,KITR
724694,KFTG
724695,KBKF
724698,KAKO
724699,KBJC
724760,KGJT
724765,KMTJ
724767,KCEZ
724768,KGXY
724769,KFNL
725650,KDEN
725700,KCAG
725710,KHDN
725717,KRIL
726391,K7BM
726392,K5SM
726396,K4BM
740002,KVTP
745310,KAFF
A00005,K20V
720545,KSNC
725027,KMMK
725029,KOXC
725040,KBDR
725045,KHVN
725046,KGON
725080,KBDL
725084,KIJD
725086,KDXR
725087,KHFD
724088,KDOV
724093,KGED
724180,KILG
720373,KPCM
720374,KTPF
720383,KNDZ
720655,KCGC
720672,KFIN
720735,KECP
720904,KDED
720946,KFHB
720964,KTDR
721041,KMKY
721042,KZPH
722010,KEYW
722011,KISM
722012,KVVG
722014,KBKV
722015,KNQX
722016,KMTH
722020,KMIA
722021,KVDF
722022,KBCT
722024,KOPF
722026,KHST
722029,KTMB
722030,KPBI
722034,KPGD
722037,KHWO
722038,KAPF
722039,KFXE
722040,KMLB
722046,KTIX
722049,KPMP
722050,KMCO
722053,KORL
722055,KOCF
722057,KSFB
722060,KJAX
722065,KNIP
722066,KNRB
722067,KVQQ
722069,KDTS
722103,KFPR
722104,KSPG
722106,KFMY
722108,KRSW
722110,KTPA
722115,KSRQ
722116,KPIE
722118,KVNC
722119,KLAL
722120,KCTY
722123,KBOW
722140,KTLH
722189,KSUA
722200,KAAF
722210,KVPS
722212,KSGJ
722213,KLEE
722215,KCEW
722223,KPNS
722225,KNPA
722226,KNSE
722246,KEGI
722261,KOBE
722341,KOMN
722361,KEVB
724737,KINF
747560,KGNV
747750,KPAM
747760,KMAI
747770,KHRT
747820,KCRG
747830,KFLL
747870,KDAB
747880,KMCF
747930,KVRB
747931,KGIF
747940,KXMR
747946,KTTS
747950,KCOF
747960,KAGR
749045,KSEF
749048,K42J
999999,KBCR
A00009,K40J
A00023,KNEN
A00024,KNFJ
720257,KBIJ
720263,K27A
720268,KBGE
720289,KHQU
720294,KIIY
720301,KJYL
720347,K3J7
720348,KMLJ
720392,KHOE
720409,KDZJ
720671,KJES
720674,KCTJ
720712,KTMA
720714,KPUJ
720738,KTVI
720897,KD73
720948,KACJ
720951,KSBO
720962,KEZM
720966,K6A2
721033,KFZG
721035,KAZE
722062,KDQH
722070,KSAV
