iata,icao,noaa
PBF,KPBF,723417
PGR,KPGR,
ROG,KROG,723449
SGT,KSGT,723416
SLG,KSLG,723443
SPZ,KASG,723434
SRC,KSRC,722188
TXK,KTXK,723418
WMH,KBPK,723439
XNA,KXNA,723436
ACV,KACV,725945
AHC,KAHC,
APC,KAPC,724955
APV,KAPV,
AUN,KAUN,720267
AVX,KAVX,722920
BAB,KBAB,724837
BFL,KBFL,723840
BIH,KBIH,724800
BLH,KBLH,747188
BLU,KBLU,725845
BNG,KBNG,
BUR,KBUR,722880
BWC,KBWC,
BYS,KBYS,746110
CCB,KCCB,720329
CCR,KCCR,724950
CEC,KCEC,725946
CIC,KCIC,724973
CLD,KCRQ,722927
CLR,KCLR,
CNO,KCNO,722899
CPM,KCPM,
CRO,KCRO,
CXL,KCXL,
DAG,KDAG,723815
EDW,KEDW,723810
EED,KEED,723805
EKA,KEKA,725940
EMT,KEMT,747043
FAT,KFAT,723890
FCH,KFCH,723897
FUL,KFUL,722976
HAF,KHAF,720646
HHR,KHHR,722956
HLI,KCVH,749179
HMT,KHMT,720687
HWD,KHWD,725850
IPL,KIPL,747185
IYK,KIYK,
KIC,KKIC,
LAX,KLAX,722950
LGB,KLGB,722970
LPC,KLPC,722895
LSN,KLSN,
LVK,KLVK,724927
MAE,KMAE,745046
MCC,KMCC,724836
MCE,KMCE,724815
MER,KMER,724810
MHR,KMHR,724833
MHV,KMHV,722953
MIT,KMIT,
MMH,KMMH,723894
MOD,KMOD,724926
MRY,KMRY,724915
MYF,KMYF,722903
MYV,KMYV,724838
NJK,KNJK,722810
NKX,KNKX,722931
NLC,KNLC,747020
NOT,KDVO,720406
NRC,KNRC,
NRS,KNRS,722909
NTD,KNTD,723910
NUQ,KNUQ,745090
NZY,KNZY,722906
OAK,KOAK,724930
OAR,KOAR,724916
OCN,KOKB,722934
ONT,KONT,747040
OVE,KOVE,745048
OXR,KOXR,723927
PAO,KPAO,724937
PMD,KPMD,723820
POC,KPOC,722887
PRB,KPRB,723965
PSP,KPSP,722868
PTV,KPTV,723895
PVF,KPVF,720645
RAL,KRAL,722869
RBL,KRBL,725910
RDD,KRDD,725920
RHV,KRHV,724946
RIR,KRIR,
RIV,KRIV,722860
RMY,KMPI,
SAC,KSAC,724830
SAN,KSAN,722900
SAS,KSAS,
SBA,KSBA,723925
SBD,KSBD,722866
SBD,KSBD,999999
SBP,KSBP,722897
SCK,KSCK,724920
SDM,KSDM,722904
SEE,KSEE,722907
SFO,KSFO,724940
SIY,KSIY,725955
SJC,KSJC,724945
SMF,KSMF,724839
SMO,KSMO,722885
SMX,KSMX,723940
SNA,KSNA,722977
SNS,KSNS,725930
SPA,KSPA,723126
SQA,KIZA,723762
SQL,KSQL,724938
STS,KSTS,724957
SUM,KSMS,720611
SUU,KSUU,745160
SVE,KSVE,725837
SZN,KSZN,
SZP,KSZP,
TKF,KTRK,725846
TLR,KTLR,
TNP,KTNP,
TOA,KTOA,722955
TRM,KTRM,747187
TSP,KTSP,749171
TVL,KTVL,725847
UDD,KUDD,
UKI,KUKI,725905
VBG,KVBG,723930
VCV,KVCV,723825
VIS,KVIS,723896
VNY,KVNY,722886
WHP,KWHP,745057
WJF,KWJF,723816
WLW,KWLW,
WVI,KWVI,745058
AFF,KAFF,745310
AKO,KAKO,724698
ALS,KALS,724620
APA,KAPA,724666
ASE,KASE,724676
BFK,KBKF,724695
BJC,KBJC,724699
CEZ,KCEZ,724767
CIG,KCAG,725700
COS,KCOS,724660
DEN,KDEN,725650
DRO,KDRO,724625
EGE,KEGE,724675
FCS,KFCS,724680
FNL,KFNL,724769
GJT,KGJT,724760
GUC,KGUC,724677
GWS,KGWS,
GXY,KGXY,724768
HDN,KHDN,725710
LAA,KLAA,724636
LIC,KLIC,724665
LXV,KLXV,724673
MTJ,KMTJ,724765
PGO,KPSO,720539
PUB,KPUB,724640
RIL,KRIL,725717
SBS,KSBS,724678
SLT,KANK,720532
STK,KSTK,720544
TAD,KTAD,724645
TEX,KTEX,724627
