iata,icao,noaa
ABE,KABE,725170
AVP,KAVP,725130
ERI,KERI,725260
IPT,KIPT,725140
LBE,KLBE,725207
MDT,KMDT,723990
PHL,KPHL,724080
PIT,KPIT,725200
SCE,KUNV,725128
PVD,KPVD,725070
CAE,KCAE,723100
CHS,KCHS,722080
FLO,KFLO,723106
GSP,KGSP,723120
HHH,KHXD,720120
MYR,KMYR,747910
ABR,KABR,726590
FSD,KFSD,726510
RAP,KRAP,726620
BNA,KBNA,723270
CHA,KCHA,723240
MEM,KMEM,723340
TRI,KTRI,723350
TYS,KTYS,723260
ABI,KABI,722660
ACT,KACT,722560
AMA,KAMA,723630
AUS,KAUS,722540
BPT,KBPT,722410
BRO,KBRO,722500
CLL,KCLL,747460
CRP,KCRP,722510
DAL,KDAL,722580
DFW,KDFW,722590
DRT,KDRT,722610
ELP,KELP,722700
GGG,KGGG,722470
GRK,KGRK,722576
HOU,KHOU,722440
HRL,KHRL,722505
IAH,KIAH,722430
LBB,KLBB,722670
LRD,KLRD,722520
MAF,KMAF,722650
MFE,KMFE,722506
SAT,KSAT,722530
SJT,KSJT,722630
SPS,KSPS,723510
TYR,KTYR,722448
CDC,KCDC,724755
CNY,KCNY,724776
OGD,KOGD,725750
PVU,KPVU,725724
SGU,KSGU,724754
SLC,KSLC,725720
VEL,KVEL,725705
BTV,KBTV,726170
CHO,KCHO,724016
DCA,KDCA,724050
IAD,KIAD,724030
LYH,KLYH,724100
ORF,KORF,723080
PHF,KPHF,723086
RIC,KRIC,724010
ROA,KROA,724110
SHD,KSHD,724105
ALW,KALW,727846
BLI,KBLI,727976
EAT,KEAT,727825
GEG,KGEG,727850
PSC,KPSC,727845
PUW,KPUW,727857
SEA,KSEA,727930
YKM,KYKM,727810
CKB,KCKB,724175
CRW,KCRW,724140
HTS,KHTS,724250
LWB,KLWB,724127
ATW,KATW,726457
CWA,KCWA,726465
EAU,KEAU,726435
GRB,KGRB,726450
LSE,KLSE,726430
MKE,KMKE,726400
MSN,KMSN,726410
RHI,KRHI,727415
COD,KCOD,726700
CPR,KCPR,725690
CYS,KCYS,725640
GCC,KGCC,726650
JAC,KJAC,725776
LAR,KLAR,725645
RKS,KRKS,725744
