OCN,KOKB
ONT,KONT
OVE,KOVE
OXR,KOXR
PAO,KPAO
PMD,KPMD
POC,KPOC
PRB,KPRB
PSP,KPSP
PTV,KPTV
PVF,KPVF
RAL,KRAL
RBL,KRBL
RDD,KRDD
RHV,KRHV
RIR,KRIR
RIV,KRIV
RMY,KMPI
SAC,KSAC
SAN,KSAN
SAS,KSAS
SBA,KSBA
SBD,KSBD
SBP,KSBP
SCK,KSCK
SDM,KSDM
SEE,KSEE
SFO,KSFO
SIY,KSIY
SJC,KSJC
SMF,KSMF
SMO,KSMO
SMX,KSMX
SNA,KSNA
SNS,KSNS
SPA,KSPA
SQA,KIZA
SQL,KSQL
STS,KSTS
SUM,KSMS
SUU,KSUU
SVE,KSVE
SZN,KSZN
SZP,KSZP
TKF,KTRK
TLR,KTLR
TNP,KTNP
TOA,KTOA
TRM,KTRM
TSP,KTSP
TVL,KTVL
UDD,KUDD
UKI,KUKI
VBG,KVBG
VCV,KVCV
VIS,KVIS
VNY,KVNY
WHP,KWHP
WJF,KWJF
WLW,KWLW
WVI,KWVI
AFF,KAFF
AKO,KAKO
ALS,KALS
APA,KAPA
ASE,KASE
BFK,KBKF
BJC,KBJC
CEZ,KCEZ
CIG,KCAG
COS,KCOS
DEN,KDEN
DRO,KDRO
EGE,KEGE
FCS,KFCS
FNL,KFNL
GJT,KGJT
GUC,KGUC
GWS,KGWS
GXY,KGXY
HDN,KHDN
LAA,KLAA
LIC,KLIC
LXV,KLXV
MTJ,KMTJ
PGO,KPSO
PUB,KPUB
RIL,KRIL
SBS,KSBS
SLT,KANK
STK,KSTK
TAD,KTAD
TEX,KTEX
WBU,KBDU
BDL,KBDL
BDR,KBDR
DXR,KDXR
GON,KGON
HFD,KHFD
HVN,KHVN
OXC,KOXC
DOV,KDOV
GED,KGED
ILG,KILG
AAF,KAAF
APF,KAPF
AVO,KAVO
BCT,KBCT
BOW,KBOW
CDK,KCDK
CEW,KCEW
CLW,KCLW
COF,KCOF
COI,KCOI
CRG,KCRG
CTY,KCTY
DAB,KDAB
DSI,KDTS
ECP,KECP
EGI,KEGI
EYW,KEYW
FLL,KFLL
FMY,KFMY
FPR,KFPR
FXE,KFXE
GIF,KGIF
GNV,KGNV
HST,KHST
HWO,KHWO
IMM,KIMM
ISM,KISM
JAX,KJAX
LAL,KLAL
LCQ,KLCQ
LEE,KLEE
LNA,KLNA
MCF,KMCF
MCO,KMCO
MIA,KMIA
MLB,KMLB
MRK,KMKY
MTH,KMTH
NEN,KNEN
NIP,KNIP
NPA,KNPA
NQX,KNQX
NRB,KNRB
NSE,KNSE
NUN,KNUN
OBE,KOBE
OCF,KOCF
OPF,KOPF
ORL,KORL
PAM,KPAM
PBI,KPBI
PGD,KPGD
PHK,KPHK
PIE,KPIE
PNS,KPNS
PPM,KPMP
RSW,KRSW
SEF,KSEF
SFB,KSFB
SPG,KSPG
SRQ,KSRQ
SUA,KSUA
TIX,KTIX
TLH,KTLH
TMB,KTMB
TNT,KTNT
TPA,KTPA
TPF,KTPF
UST,KSGJ
VNC,KVNC
VPS,KVPS
VQQ,KVQQ
VRB,KVRB
ZPH,KZPH
ABY,KABY
AGS,KAGS
AHN,KAHN
ATL,KATL
AYS,KAYS
BGE,KBGE
BQK,KBQK
CSG,KCSG
DBN,KDBN
DNL,KDNL
DNN,KDNN
FTY,KFTY
GVL,KGVL
LGC,KLGC
LIY,KLHW
LSF,KLSF
LZU,KLZU
MAC,KMAC
MCN,KMCN
MGE,KMGE
MGR,KMGR
MLJ,KMLJ
MQW,KMQW
MUL,KMUL
PDK,KPDK
PIM,KPIM
RMG,KRMG
SAV,KSAV
SSI,KSSI
SVN,KSVN
SYV,KSYV
TBR,KTBR
TMA,KTMA
TOC,KTOC
TVI,KTVI
VAD,KVAD
VDI,KVDI
VLD,KVLD
WDR,KWDR
WRB,KWRB
BKH,PHBK
BSF,PHSF
FTI,NSFQ
HDH,PHDH
HHI,PHHI
HNL,PHNL
HNM,PHHN
ITO,PHTO
JHM,PHJH
JRF,PHJR
KOA,PHKO
LIH,PHLI
LNY,PHNY
LUP,PHLU
MDY,PMDY
MKK,PHMK
MUE,PHMU
NGF,PHNG
OGG,PHOG
PAK,PHPA
UPP,PHUP
BOI,KBOI
BYI,KBYI
CHL,KLLJ
COE,KCOE
GNG,KGNG
IDA,KIDA
IDH,KGIC
LWS,KLWS
MLD,KMLD
MUO,KMUO
MYL,KMYL
PIH,KPIH
RXE,KRXE
SMN,KSMN
SUN,KSUN
TWF,KTWF
ALN,KALN
AUZ,KARR
BLV,KBLV
BMI,KBMI
CIR,KCIR
CMI,KCMI
CPS,KCPS
DEC,KDEC
DNV,KDNV
DPA,KDPA
DVN,KDVN
ENL,KENL
EOK,KEOK
FEP,KFEP
GBG,KGBG
GRE,KGRE
HSB,KHSB
IJX,KIJX
IKK,KIKK
JOT,KJOT
LOT,KLOT
LWV,KLWV
MDH,KMDH
MDW,KMDW
MLI,KMLI
MQB,KMQB
MTO,KMTO
MVN,KMVN
MWA,KMWA
OLY,KOLY
ORD,KORD
PIA,KPIA
RFD,KRFD
SAR,KSAR
SLO,KSLO
SPI,KSPI
SQI,KSQI
UGN,KUGN
UIN,KUIN
VLA,KVLA
VYS,KVYS
AID,KAID
ANQ,KANQ
BFR,KBFR
BMG,KBMG
CEV,KCEV
CLU,KBAK
EKI,KEKM
EVV,KEVV
FRH,KFRH
FWA,KFWA
GBI,VOGB
GFD,KGFD
GSH,KGSH
GUS,KGUS
HLB,KHLB
HNB,KHNB
IND,KIND
LAF,KLAF
LPO,KPPO
MDN,KIMS
MGC,KMGC
MIE,KMIE
MZZ,KMZZ
OKK,KOKK
RCR,KRCR
RID,KRID
RNZ,KRZL
SBN,KSBN
SER,KSER
SIV,KSIV
SMD,KSMD
VPZ,KVPZ
AIO,KAIO
ALO,KALO
AMW,KAMW
AXG,KAXA
BNW,KBNW
BRL,KBRL
CBF,KCBF
CCY,KCCY
CID,KCID
CIN,KCIN
CSQ,KCSQ
CWI,KCWI
DBQ,KDBQ
DEH,KDEH
DNS,KDNS
DSM,KDSM
EBS,KEBS
EFW,KEFW
EST,KEST
FFL,KFFL
FMS,KFSW
FOD,KFOD
FXY,KFXY
HPT,KHPT
ICL,KICL
IDG,KIDG
IFA,KIFA
IOW,KIOW
LRJ,KLRJ
MCW,KMCW
MIW,KMIW
MPZ,KMPZ
MUT,KMUT
MXO,KMXO
OMA,KOMA
OOA,KOOA
OTM,KOTM
POH,KPOH
PRO,KPRO
SLB,KSLB
SPW,KSPW
SUX,KSUX
TNU,KTNU
ANY,KANY
BEC,KBEC
CBK,KCBK
CEA,KCEA
CFV,KCFV
CNK,KCNK
CNU,KCNU
DDC,KDDC
EDK,KEQA
EMP,KEMP
EWK,KEWK
FLV,KFLV
FOE,KFOE
FRI,KFRI
FSK,KFSK
GBD,KGBD
GCK,KGCK
GLD,KGLD
HLC,KHLC
